frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
170,5.69,1,0.0,0.004,0.0053,0.0444,0.3815,0.132,0.0005,0.0,0.0,0.5574,0.4985,0.7564,0.7701,0.017,0.1736,0.2093,0.0361,0.0047,0.0036,0.3763,0.408,0.0015,0.0008,0.0013,0.0029,0.2699,0.0007,0.0087,0.0032,0.0067,0.0002,0.0001,0.1242,0.0005,0.1114,0.1474,0.0171,0.0273,0.0755,0.0018,0.0035,0.0064,0.0009,0.0161,0.6269,0.6712,0.0056,0.0081,0.2859,0.3945,0.0,0.0
175,5.85,1,0.0,0.0053,0.0055,0.0533,0.3278,0.099,0.0005,0.0,0.0,0.2078,0.2338,0.5094,0.5181,0.0141,0.1858,0.2105,0.0326,0.0153,0.0106,0.3035,0.3058,0.0061,0.0037,0.001,0.0019,0.2477,0.0007,0.0088,0.0015,0.0035,0.0006,0.0005,0.059,0.0003,0.0901,0.1046,0.0151,0.0241,0.0612,0.002,0.0069,0.0058,0.0025,0.0246,0.6273,0.6656,0.0083,0.0091,0.3756,0.4684,0.0,0.0
180,6.02,1,0.0,0.0071,0.0085,0.0402,0.329,0.0893,0.0004,0.0,0.0,0.1468,0.1585,0.3697,0.3639,0.011,0.223,0.2291,0.0257,0.0232,0.0192,0.2538,0.2627,0.0079,0.0066,0.001,0.0008,0.1807,0.0008,0.0064,0.0014,0.0034,0.0004,0.0003,0.0622,0.0003,0.098,0.1065,0.0133,0.0237,0.0803,0.0021,0.0059,0.0054,0.0019,0.0175,0.6334,0.6929,0.0069,0.009,0.4425,0.5486,0.0,0.0
185,6.19,1,0.0,0.0093,0.0092,0.0343,0.3061,0.0794,0.0004,0.0,0.0,0.0998,0.0544,0.2879,0.2771,0.0064,0.3349,0.2928,0.0125,0.0264,0.0239,0.2252,0.1315,0.0092,0.0137,0.0011,0.0009,0.1058,0.0005,0.0035,0.0023,0.0045,0.0007,0.0006,0.0304,0.0003,0.0785,0.069,0.026,0.0486,0.0216,0.0017,0.0065,0.0043,0.0023,0.0503,0.4248,0.5258,0.0172,0.0429,0.2739,0.4045,0.0,0.0
190,6.36,1,0.0,0.0332,0.0199,0.0164,0.114,0.0651,0.0,0.0,0.0,0.1323,0.0715,0.238,0.2339,0.0065,0.3408,0.3171,0.0132,0.0351,0.0324,0.2423,0.2222,0.0057,0.0085,0.0003,0.0004,0.0051,0.0001,0.0018,0.0258,0.0229,0.0,0.0,0.0411,0.0011,0.0015,0.001,0.0347,0.0388,0.1356,0.0034,0.0007,0.0017,0.0004,0.0049,0.0503,0.0669,0.0006,0.0014,0.0005,0.0006,0.0,0.0
195,6.52,1,0.0,0.0051,0.0055,0.0503,0.3621,0.1385,0.0,0.0,0.0,0.8132,0.6936,0.8998,0.8993,0.0466,0.1608,0.1518,0.0235,0.0013,0.0011,0.4426,0.4417,0.0004,0.0002,0.0003,0.0008,0.0053,0.0002,0.0021,0.0329,0.0438,0.0,0.0,0.1192,0.0039,0.0013,0.0012,0.0141,0.0287,0.3701,0.0021,0.0008,0.0026,0.0005,0.004,0.0134,0.0241,0.0002,0.0014,0.0011,0.0015,0.0,0.0
200,6.69,1,0.0,0.0074,0.0079,0.0234,0.2872,0.0859,0.0002,0.0,0.0,0.7121,0.4291,0.7251,0.7621,0.0151,0.1758,0.2297,0.0407,0.004,0.0043,0.442,0.4562,0.0005,0.0008,0.0013,0.0044,0.0885,0.0001,0.0058,0.0067,0.0352,0.0,0.0,0.0753,0.0012,0.0417,0.0307,0.0253,0.0571,0.0353,0.0009,0.0024,0.003,0.0003,0.0124,0.1746,0.1929,0.0046,0.0034,0.0191,0.0321,0.0,0.0
205,6.86,1,0.0,0.0072,0.0097,0.0243,0.2762,0.0745,0.0001,0.0,0.0,0.2137,0.1492,0.3217,0.3048,0.006,0.3281,0.2946,0.019,0.0273,0.0264,0.3237,0.3723,0.0036,0.0048,0.0008,0.0007,0.0791,0.0005,0.0098,0.0157,0.0247,0.0,0.0,0.0978,0.0009,0.0117,0.0101,0.0335,0.0544,0.0776,0.0026,0.002,0.0068,0.0002,0.006,0.1981,0.2647,0.001,0.0031,0.0022,0.0035,0.0,0.0
210,7.03,1,0.0,0.0251,0.0208,0.0226,0.1293,0.0533,0.0004,0.0,0.0,0.1047,0.1028,0.1989,0.1998,0.0058,0.3472,0.3148,0.012,0.0453,0.0398,0.2936,0.329,0.0073,0.0083,0.0007,0.0012,0.3422,0.0007,0.0115,0.0022,0.0063,0.0002,0.0002,0.0364,0.0001,0.0504,0.054,0.0186,0.0307,0.0293,0.0041,0.0039,0.0074,0.0009,0.0116,0.6365,0.7265,0.0065,0.0175,0.0649,0.0935,0.0,0.0
215,7.19,1,0.0,0.0428,0.0282,0.0148,0.0946,0.0459,0.0004,0.0,0.0,0.0673,0.0393,0.1419,0.1408,0.0059,0.3538,0.3279,0.01,0.0671,0.0548,0.3035,0.205,0.0122,0.0185,0.0005,0.001,0.4773,0.002,0.013,0.0138,0.0043,0.0001,0.0001,0.0489,0.0004,0.0283,0.0465,0.0279,0.0181,0.0472,0.0016,0.002,0.0076,0.0009,0.0125,0.6387,0.645,0.0025,0.0098,0.0565,0.0655,0.0,0.0
