frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
150,5.0,1,0.0,0.0784,0.046,0.0863,0.0098,0.0153,0.0003,0.0,0.0,0.263,0.1752,0.3286,0.2791,0.0116,0.2763,0.2762,0.0108,0.0305,0.0377,0.7305,0.7158,0.0022,0.0022,0.0004,0.0072,0.2691,0.0002,0.0256,0.0111,0.0201,0.0,0.0,0.0081,0.0064,0.012,0.0175,0.1216,0.1818,0.0023,0.0001,0.0204,0.0816,0.0032,0.015,0.4945,0.5206,0.0035,0.0051,0.0261,0.0543,0.0,0.0
155,5.17,1,0.0,0.0582,0.033,0.1117,0.0218,0.0231,0.0,0.0,0.0,0.0978,0.0248,0.068,0.0451,0.0116,0.268,0.2714,0.0102,0.1329,0.1552,0.3244,0.512,0.0055,0.0154,0.0001,0.0004,0.0034,0.0,0.0009,0.0258,0.0183,0.0,0.0,0.0005,0.0076,0.0001,0.0001,0.1561,0.1481,0.0025,0.0002,0.0112,0.0131,0.0166,0.0088,0.3659,0.3166,0.0053,0.004,0.0002,0.0003,0.0,0.0
160,5.33,1,0.0,0.0566,0.0257,0.0842,0.0208,0.0332,0.0,0.0,0.0,0.1212,0.0337,0.0502,0.0349,0.0157,0.2166,0.2229,0.0144,0.1827,0.2002,0.3833,0.4478,0.0051,0.0109,0.0001,0.0004,0.0017,0.0,0.0004,0.0143,0.009,0.0,0.0,0.0009,0.0082,0.0001,0.0001,0.0623,0.0683,0.0094,0.0002,0.0048,0.005,0.0109,0.0102,0.4403,0.4216,0.0034,0.0059,0.0003,0.0005,0.0,0.0
165,5.5,1,0.0,0.053,0.0231,0.0978,0.0193,0.0343,0.0001,0.0,0.0,0.101,0.0262,0.0531,0.0363,0.0163,0.1894,0.1806,0.0186,0.1787,0.1938,0.4096,0.4232,0.0061,0.0153,0.0002,0.0009,0.0187,0.0001,0.0013,0.005,0.0067,0.0,0.0,0.0124,0.0059,0.0047,0.0042,0.0203,0.0346,0.014,0.0001,0.0032,0.0133,0.0013,0.0209,0.5897,0.6016,0.0027,0.0028,0.0085,0.0143,0.0,0.0
170,5.67,1,0.0,0.0729,0.0288,0.054,0.0187,0.0373,0.0002,0.0,0.0,0.0731,0.018,0.0489,0.0409,0.0109,0.2589,0.2484,0.013,0.1836,0.1871,0.4213,0.2653,0.0091,0.0248,0.0005,0.0031,0.0931,0.0001,0.0035,0.0031,0.0064,0.0001,0.0001,0.0131,0.0064,0.029,0.0266,0.0247,0.0476,0.0037,0.0,0.0067,0.0621,0.0007,0.015,0.641,0.645,0.0096,0.0042,0.0215,0.043,0.0,0.0
175,5.83,1,0.0,0.0804,0.0322,0.0418,0.0209,0.0397,0.0002,0.0,0.0,0.0857,0.0264,0.0802,0.0748,0.0108,0.3068,0.2985,0.0088,0.1112,0.1222,0.3651,0.3298,0.0079,0.0191,0.0006,0.0022,0.1025,0.0001,0.0043,0.0025,0.0041,0.0001,0.0,0.01,0.0079,0.0311,0.0291,0.03,0.0647,0.0024,0.0,0.0065,0.0641,0.0003,0.006,0.6228,0.6379,0.0177,0.0107,0.008,0.0136,0.0,0.0
180,6.0,1,0.0,0.0549,0.0212,0.0767,0.0252,0.0479,0.0003,0.0,0.0,0.0847,0.0352,0.1239,0.1194,0.0108,0.3053,0.2886,0.0093,0.0733,0.0767,0.3214,0.3601,0.0084,0.0159,0.0007,0.0025,0.1114,0.0001,0.0039,0.0023,0.0045,0.0004,0.0003,0.005,0.0071,0.0443,0.0376,0.043,0.1207,0.0009,0.0,0.017,0.079,0.001,0.0103,0.6422,0.6752,0.0434,0.0303,0.023,0.0403,0.0,0.0
185,6.17,1,0.0,0.0515,0.0145,0.0941,0.0348,0.0641,0.0,0.0,0.0,0.1304,0.043,0.2184,0.1903,0.0068,0.3818,0.3518,0.0066,0.0358,0.0401,0.2479,0.2951,0.005,0.0122,0.0,0.0003,0.0023,0.0,0.0003,0.017,0.0081,0.0047,0.0068,0.0001,0.0033,0.0002,0.0001,0.3951,0.3299,0.0001,0.0001,0.0181,0.0071,0.1202,0.0636,0.0859,0.078,0.0169,0.0244,0.0018,0.0029,0.0,0.0
190,6.33,1,0.0,0.0064,0.0038,0.2473,0.0793,0.0844,0.0,0.0,0.0,0.6841,0.4566,0.7356,0.7631,0.0256,0.2281,0.2308,0.0109,0.003,0.0044,0.2554,0.447,0.0004,0.0004,0.0001,0.0028,0.0046,0.0,0.0008,0.027,0.0089,0.0,0.0,0.0086,0.006,0.0006,0.0009,0.1918,0.0376,0.0294,0.0009,0.0035,0.0076,0.0066,0.0324,0.0066,0.0026,0.002,0.0002,0.0025,0.0021,0.0,0.0
195,6.5,1,0.0,0.0161,0.0062,0.2166,0.0439,0.0828,0.0,0.0,0.0,0.6458,0.3156,0.5627,0.5802,0.0058,0.4088,0.3979,0.0084,0.0078,0.0113,0.3302,0.4929,0.0006,0.001,0.0,0.0004,0.0039,0.0001,0.0009,0.044,0.0095,0.0,0.0,0.0016,0.0061,0.0001,0.0002,0.1437,0.0567,0.0195,0.0009,0.0086,0.0186,0.0114,0.0101,0.002,0.0017,0.0002,0.0012,0.0003,0.0002,0.0,0.0
200,6.67,1,0.0,0.0378,0.0158,0.0977,0.034,0.1062,0.0,0.0,0.0,0.3329,0.1729,0.4435,0.446,0.0011,0.7268,0.7048,0.0024,0.0137,0.0138,0.2063,0.3135,0.0026,0.0038,0.0001,0.0005,0.0084,0.0003,0.0025,0.0228,0.0057,0.0,0.0,0.0129,0.0029,0.0003,0.0006,0.0654,0.0109,0.1569,0.0029,0.0064,0.0156,0.0022,0.0058,0.0006,0.0004,0.0001,0.0003,0.0003,0.0001,0.0,0.0
205,6.83,1,0.0,0.0126,0.0038,0.2503,0.0857,0.1661,0.0001,0.0,0.0,0.2586,0.1305,0.4357,0.419,0.0013,0.7247,0.678,0.0019,0.0117,0.0141,0.1022,0.3926,0.0025,0.005,0.0003,0.0002,0.0109,0.0004,0.0004,0.0248,0.0213,0.0,0.0,0.0151,0.0022,0.0077,0.0084,0.1974,0.0695,0.005,0.0007,0.0039,0.0084,0.0034,0.0776,0.0495,0.0315,0.003,0.0005,0.0825,0.0745,0.0,0.0
210,7.0,1,0.0,0.0279,0.0185,0.1163,0.0422,0.0525,0.0,0.0,0.0,0.0852,0.0767,0.3613,0.3379,0.0028,0.555,0.5315,0.0037,0.0213,0.0185,0.1671,0.2874,0.011,0.0096,0.0002,0.0003,0.0275,0.0013,0.0006,0.0076,0.0053,0.0,0.0,0.1714,0.0015,0.0104,0.0117,0.0082,0.0031,0.2318,0.0016,0.0028,0.0096,0.0021,0.0754,0.0005,0.0003,0.0003,0.0002,0.0773,0.0659,0.0,0.0
215,7.17,1,0.0,0.0186,0.0099,0.2098,0.0501,0.0743,0.0,0.0,0.0,0.1138,0.0478,0.105,0.0986,0.0036,0.448,0.4234,0.0075,0.078,0.0872,0.2644,0.3336,0.0073,0.0104,0.0001,0.0003,0.0047,0.0001,0.0011,0.0531,0.0075,0.0,0.0,0.0033,0.0104,0.0003,0.0003,0.1208,0.0578,0.0228,0.0005,0.0045,0.0154,0.0021,0.004,0.0017,0.0019,0.0002,0.0013,0.0001,0.0001,0.0,0.0
220,7.33,1,0.0,0.0207,0.0149,0.1775,0.0527,0.0448,0.0,0.0,0.0,0.126,0.044,0.2032,0.1724,0.0107,0.2918,0.2798,0.0107,0.0396,0.05,0.1672,0.3548,0.0053,0.0127,0.0001,0.0004,0.005,0.0,0.0013,0.0472,0.009,0.0001,0.0002,0.0003,0.0094,0.0001,0.0001,0.4282,0.3578,0.0004,0.0001,0.0215,0.023,0.0192,0.0048,0.0236,0.0251,0.0026,0.011,0.0001,0.0001,0.0,0.0
225,7.5,1,0.0,0.0131,0.007,0.2189,0.065,0.0859,0.0001,0.0,0.0,0.1027,0.0258,0.1376,0.1225,0.0094,0.3254,0.3041,0.0089,0.0644,0.0721,0.3174,0.2453,0.0069,0.0199,0.0003,0.0003,0.0217,0.0003,0.0011,0.0119,0.0063,0.0001,0.0001,0.0054,0.0018,0.0069,0.0084,0.1097,0.0837,0.004,0.0003,0.0093,0.0193,0.0035,0.0298,0.5867,0.5076,0.008,0.0091,0.0194,0.0304,0.0,0.0
