frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
195,6.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,6.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,6.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,7.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,7.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,7.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,7.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,7.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,7.84,1,0.0,0.0031,0.0005,0.4566,0.1967,0.1845,0.0,0.0,0.0,0.1617,0.0606,0.5299,0.5183,0.0331,0.1265,0.1248,0.0367,0.0131,0.0096,0.3162,0.2073,0.0058,0.0077,0.0003,0.0009,0.0207,0.0001,0.0042,0.0067,0.0064,0.0002,0.0003,0.0014,0.0007,0.0051,0.0042,0.0195,0.0418,0.0062,0.0006,0.0062,0.004,0.0011,0.0027,0.004,0.0065,0.0011,0.0068,0.0007,0.0008,0.0,0.0
240,8.01,1,0.0,0.0005,0.0005,0.5245,0.3731,0.1412,0.0001,0.0,0.0,0.1496,0.1844,0.4169,0.3707,0.0115,0.3842,0.4103,0.0036,0.0244,0.015,0.3733,0.2591,0.0065,0.0034,0.0008,0.0004,0.0177,0.0002,0.0005,0.0259,0.0258,0.0003,0.0003,0.0038,0.0003,0.0305,0.0364,0.0865,0.0928,0.0015,0.0015,0.0035,0.0061,0.0012,0.0171,0.065,0.0647,0.0051,0.0048,0.0279,0.0328,0.0,0.0
245,8.17,1,0.0,0.0005,0.0004,0.4607,0.5294,0.1509,0.0001,0.0,0.0,0.1801,0.1315,0.4575,0.4293,0.0126,0.3485,0.361,0.0048,0.0159,0.0126,0.2832,0.2318,0.005,0.005,0.0009,0.0003,0.0179,0.0003,0.0008,0.0116,0.0116,0.0008,0.0008,0.0051,0.0004,0.023,0.0216,0.0568,0.0924,0.0027,0.001,0.005,0.005,0.0027,0.0243,0.2985,0.3259,0.0138,0.0299,0.0654,0.0794,0.0,0.0
250,8.34,1,0.0,0.0003,0.0002,0.6025,0.5962,0.2314,0.0005,0.0,0.0,0.0827,0.06,0.246,0.2349,0.0316,0.185,0.1644,0.0185,0.0539,0.0401,0.3521,0.2378,0.0144,0.0145,0.0022,0.0001,0.0808,0.003,0.0022,0.0051,0.0033,0.002,0.0018,0.0076,0.0006,0.1974,0.2529,0.0148,0.0222,0.0048,0.0002,0.0083,0.0213,0.0014,0.0062,0.5055,0.5548,0.0304,0.038,0.2904,0.4625,0.0,0.0
255,8.51,1,0.0,0.0002,0.0009,0.4279,0.5966,0.0907,0.0005,0.0,0.0,0.1091,0.1437,0.2792,0.2612,0.0562,0.1071,0.083,0.0388,0.0416,0.0327,0.3683,0.3253,0.0084,0.0052,0.0019,0.0004,0.1443,0.0012,0.0042,0.0028,0.0079,0.0021,0.0015,0.0115,0.0002,0.1304,0.1372,0.0149,0.0337,0.0041,0.0008,0.0061,0.0145,0.0012,0.0115,0.4163,0.4942,0.0636,0.0403,0.261,0.4099,0.0,0.0
260,8.67,1,0.0,0.0005,0.0025,0.296,0.4696,0.0732,0.0004,0.0,0.0,0.1259,0.1613,0.275,0.2509,0.0458,0.0897,0.0774,0.0475,0.0367,0.0309,0.3667,0.3491,0.0063,0.0031,0.0009,0.0003,0.0925,0.0007,0.0038,0.0093,0.0153,0.0014,0.0013,0.0024,0.0004,0.0306,0.0312,0.062,0.1532,0.0003,0.0005,0.0126,0.025,0.0026,0.0214,0.1935,0.3015,0.0131,0.0482,0.0806,0.1284,0.0,0.0
265,8.84,1,0.0,0.0019,0.0052,0.1781,0.3004,0.0773,0.0,0.0,0.0,0.0801,0.1685,0.2849,0.2541,0.0389,0.0897,0.0959,0.0403,0.0398,0.0215,0.4305,0.2091,0.0119,0.0021,0.0,0.0003,0.0052,0.0001,0.0024,0.0037,0.0207,0.0002,0.0002,0.0004,0.0011,0.0002,0.0001,0.0292,0.1901,0.0035,0.0015,0.0118,0.0059,0.0348,0.0091,0.0017,0.0052,0.0004,0.0046,0.0002,0.0006,0.0,0.0
